"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
83175	Rodentia	Muridae	Sigmodontinae	Symmetrodontomys	simplicidens	Symmetrodontomys simplicidens	NA	bra	NA	Symmetrodontomys simplicidens	4	1	1.56	3.77	2.21	0.05692302	0.0446845707	0.238585456388272	39.1	32.5	-95.7	-96.4	1.17
83180	Rodentia	Muridae	Neotominae	Baiomys	kolbi	Baiomys kolbi	NA	bra	NA	Baiomys kolbi	3	2	1.64	5.41	3.77	1.6325325	1.2815380125	1.27770595208757	39.1	28.5	-95.7	-108.2	0.656
83202	Rodentia	Muridae	Neotominae	Neotoma	primaevus	Neotoma primaevus	NA	hyp	NA	Neotoma primaevus	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
83236	Rodentia	Muridae	Arvicolinae	Pliophenacomys	finneyi	Pliophenacomys finneyi	NA	hyp	NA	Pliophenacomys finneyi	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
83296	Rodentia	Sciuridae	Sciurinae	Spermophilus	howelli	Spermophilus howelli	NA	mes	NA	Spermophilus howelli	7	1	1.56	3.77	2.21	5.85715698	4.5978682293	2.4201563957728	47	29.9	-95.1	-122.9	0.78
83305	Rodentia	Sciuridae	Sciurinae	Spermophilus	rexroadensis	Spermophilus rexroadensis	NA	mes	NA	Spermophilus rexroadensis	3	1	1.64	5.41	3.77	0.29299338	0.2299998033	0.541288629106505	39.1	35	-95.7	-101.5	0.546666666666666
83824	Eulipotyphla	Soricidae	Soricinae	Sorex	rexroadensis	Sorex rexroadensis	NA	bra	NA	Sorex rexroadensis	2	1	0	3.77	3.77	1.13661225	0.89224061625	1.06612018553257	43.6	39.1	-95.7	-116.2	0
83839	Eulipotyphla	Soricidae	Soricinae	Notiosorex	jacksoni	Notiosorex jacksoni	NA	bra	NA	Notiosorex jacksoni	5	1	2.01	3.77	1.76	2.09801988	1.6469456058	1.44845430718404	39.1	32.5	-95.7	-121.5	1.72285714285714
83844	Eulipotyphla	Soricidae	Soricinae	Cryptotis	adamsi	Cryptotis adamsi	NA	bra	NA	Cryptotis adamsi	3	1	2.62	6.39	3.77	1.95090714	1.5314621049	1.3967487748339	44.9	39.1	-95.7	-123	0.873333333333334
83846	Eulipotyphla	Soricidae	Soricinae	Cryptotis	meadensis	Cryptotis meadensis	NA	bra	NA	Cryptotis meadensis	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
83848	Eulipotyphla	Soricidae	Soricinae	Cryptotis	rex	Cryptotis rex	NA	bra	NA	Cryptotis rex	6	1	0	3.77	3.77	4.99345488	3.9198620808	2.2346039649119	47	32.1	-95.7	-122.9	0
83875	Chiroptera	Vespertilionidae	Vespertilioninae	Lasiurus	fossilis	Lasiurus fossilis	NA	bra	NA	Lasiurus fossilis	2	1	0	3.77	3.77	1.13661225	0.89224061625	1.06612018553257	43.6	39.1	-95.7	-116.2	0
34908	Rodentia	Muridae	Neotominae	Neotoma	vaughani	Neotoma vaughani	NA	hyp	NA	Neotoma vaughani	2	1	0	3.77	3.77	0.92592315	0.72684967275	0.962249006234873	39.1	34.6	-95.7	-112.4	0
34917	Rodentia	Muridae	Neotominae	Reithrodontomys	wetmorei	Reithrodontomys wetmorei	NA	bra	NA	Reithrodontomys wetmorei	4	1	1.56	3.77	2.21	4.1743548	3.276868518	2.04312378479621	39.1	28.1	-81.6	-112.4	0.624
82611	Rodentia	Heteromyidae	Perognathinae	Perognathus	mclaughlini	Perognathus mclaughlini	NA	mes	NA	Perognathus mclaughlini	4	1	2.12	5.89	3.77	1.5376608	1.207063728	1.24002451588668	39.1	32.6	-95.7	-114.9	0.53
82637	Rodentia	Heteromyidae	Dipodomyinae	Prodipodomys	griggsorum	Prodipodomys griggsorum	NA	hyp	NA	Prodipodomys griggsorum	2	1	1.64	5.41	3.77	0.29299338	0.2299998033	0.541288629106505	39.1	35	-95.7	-101.5	0.82
82704	Rodentia	Geomyidae	Geomyinae	Geomys	smithi	Geomys smithi	NA	hys	NA	Geomys smithi	15	2	2.01	3.77	1.76	3.27418254	2.5702332939	1.80947023738994	39.1	28.8	-95.7	-121.5	1.809
83149	Rodentia	Muridae	Neotominae	Reithrodontomys	rexroadensis	Reithrodontomys rexroadensis	NA	bra	NA	Reithrodontomys rexroadensis	4	1	1.56	3.77	2.21	1.33362504	1.0468956564	1.15482684416323	39.1	32.5	-95.7	-112.1	1.17
83168	Rodentia	Muridae	Sigmodontinae	Calomys	eliasi	Calomys eliasi	NA	bra	NA	Calomys eliasi	4	1	0	3.77	3.77	0.05692302	0.0446845707	0.238585456388272	39.1	32.5	-95.7	-96.4	0
83172	Rodentia	Muridae	Sigmodontinae	Calomys	stirtoni	Calomys stirtoni	NA	bra	NA	Calomys stirtoni	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
83183	Rodentia	Muridae	Neotominae	Baiomys	rexroadi	Baiomys rexroadi	NA	bra	NA	Baiomys rexroadi	4	1	0	3.77	3.77	0.05692302	0.0446845707	0.238585456388272	39.1	32.5	-95.7	-96.4	0
83184	Rodentia	Muridae	Neotominae	Baiomys	sawrockensis	Baiomys sawrockensis	NA	bra	NA	Baiomys sawrockensis	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
