Order	Nsp	InterceptSemilog	SlopeSemilog	R2Semilog	InterceptSemilog2	SlopeSemilog2	R2Semilog2	IntereptPlain	SlopePlain	R2Plain	IntereptPlain2	SlopePlain2	R2Plain2	InterceptLoglog	SlopeLoglog	R2Loglog	BestModel	R2Best
Primates other	367	-0.441	-0.564	0.966	-0.697	-0.135	0.658	0.294	-0.133	0.691	0.225	-0.025	0.279	-1.129	-0.727	0.748	Exponential	0.966
Hominidae not Hominini	37	-0.603	-1.039	0.916	-0.711	-0.947	0.745	0.24	-0.268	0.653	0.208	-0.22	0.431	-1.379	-0.552	0.934	Power	0.934
Hominini	13	-0.244	-0.097	0.891	-0.315	-0.011	0.795	0.56	-0.062	0.683	0.508	-0.006	0.531	-0.503	-0.354	0.787	Exponential	0.891
Primates	417	-0.566	-0.323	0.844	-0.763	-0.035	0.475	0.256	-0.067	0.463	0.211	-0.005	0.141	-1.109	-0.707	0.8	Exponential	0.844
Primates other	377	-0.516	-0.454	0.934	-0.75	-0.077	0.567	0.261	-0.096	0.611	0.206	-0.012	0.212	-1.132	-0.698	0.76	Exponential	0.934
Hominidae not Hominini	36	-0.639	-0.968	0.917	-0.732	-0.899	0.769	0.222	-0.237	0.679	0.196	-0.201	0.474	-1.383	-0.52	0.94	Power	0.94
Hominini	12	-0.233	-0.098	0.867	-0.293	-0.011	0.766	0.588	-0.067	0.636	0.541	-0.007	0.486	-0.531	-0.291	0.805	Exponential	0.867
Primates	425	-0.589	-0.308	0.863	-0.772	-0.035	0.522	0.242	-0.06	0.478	0.202	-0.005	0.164	-1.111	-0.658	0.781	Exponential	0.863
Primates other	359	-0.478	-0.511	0.932	-0.721	-0.091	0.53	0.285	-0.118	0.613	0.224	-0.016	0.2	-1.129	-0.691	0.748	Exponential	0.932
Hominini	13	-0.328	-0.091	0.912	-0.392	-0.01	0.823	0.462	-0.051	0.733	0.422	-0.005	0.576	-0.61	-0.27	0.793	Exponential	0.912
Hominidae not Hominini	36	-0.64	-0.997	0.912	-0.742	-0.913	0.74	0.223	-0.245	0.67	0.195	-0.203	0.446	-1.399	-0.523	0.949	Power	0.949
Primates	408	-0.572	-0.327	0.852	-0.759	-0.037	0.491	0.254	-0.067	0.466	0.211	-0.006	0.151	-1.119	-0.679	0.793	Exponential	0.852
Primates other	370	-0.468	-0.523	0.916	-0.735	-0.086	0.484	0.286	-0.121	0.603	0.219	-0.015	0.176	-1.118	-0.705	0.726	Exponential	0.916
Hominidae not Hominini	36	-0.492	-1.644	0.967	-0.633	-2.553	0.907	0.277	-0.465	0.832	0.232	-0.661	0.652	-1.355	-0.581	0.787	Exponential	0.967
Hominini	11	-0.204	-0.099	0.931	-0.283	-0.011	0.806	0.609	-0.07	0.725	0.546	-0.007	0.536	-0.469	-0.356	0.828	Exponential	0.931
Primates	417	-0.562	-0.332	0.837	-0.758	-0.036	0.469	0.258	-0.069	0.448	0.214	-0.006	0.138	-1.108	-0.713	0.788	Exponential	0.837
Primates other	362	-0.517	-0.482	0.89	-0.758	-0.077	0.5	0.267	-0.104	0.53	0.21	-0.012	0.164	-1.155	-0.752	0.772	Exponential	0.89
Hominini	13	-0.334	-0.102	0.789	-0.404	-0.01	0.615	0.474	-0.056	0.527	0.432	-0.005	0.353	-0.605	-0.43	0.904	Power	0.904
Primates	409	-0.59	-0.335	0.821	-0.78	-0.037	0.455	0.246	-0.067	0.425	0.204	-0.005	0.129	-1.144	-0.736	0.809	Exponential	0.821
Primates other	364	-0.578	-0.449	0.908	-0.815	-0.073	0.544	0.228	-0.082	0.565	0.18	-0.01	0.195	-1.177	-0.683	0.722	Exponential	0.908
Hominidae not Hominini	35	-0.476	-1.197	0.91	-0.613	-1.065	0.7	0.311	-0.382	0.653	0.263	-0.299	0.39	-1.306	-0.605	0.883	Exponential	0.91
Hominini	13	-0.246	-0.101	0.898	-0.32	-0.011	0.791	0.557	-0.064	0.674	0.504	-0.007	0.512	-0.503	-0.438	0.891	Exponential	0.898
Primates	412	-0.637	-0.294	0.844	-0.815	-0.033	0.527	0.219	-0.052	0.449	0.184	-0.005	0.166	-1.15	-0.688	0.788	Exponential	0.844
Hominini	13	-0.279	-0.092	0.907	-0.345	-0.01	0.822	0.516	-0.055	0.724	0.47	-0.006	0.577	-0.528	-0.398	0.884	Exponential	0.907
Primates other	350	-0.491	-0.482	0.946	-0.713	-0.095	0.616	0.276	-0.108	0.627	0.221	-0.016	0.241	-1.121	-0.663	0.742	Exponential	0.946
Hominidae not Hominini	36	-0.54	-1.66	0.958	-0.669	-2.499	0.838	0.26	-0.453	0.766	0.221	-0.619	0.552	-1.443	-0.609	0.89	Exponential	0.958
Primates	399	-0.576	-0.304	0.858	-0.747	-0.034	0.52	0.253	-0.062	0.468	0.214	-0.005	0.164	-1.112	-0.658	0.799	Exponential	0.858
Hominidae not Hominini	39	-0.481	-1.847	0.97	-0.633	-3.088	0.904	0.279	-0.517	0.842	0.232	-0.787	0.651	-1.395	-0.608	0.787	Exponential	0.97
Primates other	358	-0.484	-0.49	0.907	-0.763	-0.077	0.484	0.273	-0.108	0.637	0.206	-0.013	0.191	-1.119	-0.72	0.718	Exponential	0.907
Hominini	13	-0.27	-0.092	0.839	-0.323	-0.01	0.764	0.542	-0.058	0.625	0.503	-0.006	0.505	-0.55	-0.299	0.786	Exponential	0.839
Primates	410	-0.583	-0.305	0.829	-0.774	-0.033	0.485	0.248	-0.061	0.46	0.206	-0.005	0.151	-1.103	-0.676	0.764	Exponential	0.829
Primates other	369	-0.509	-0.473	0.894	-0.755	-0.075	0.5	0.27	-0.103	0.568	0.211	-0.012	0.177	-1.159	-0.791	0.793	Exponential	0.894
Hominidae not Hominini	42	-0.598	-1.491	0.965	-0.729	-2.356	0.955	0.213	-0.332	0.932	0.18	-0.481	0.776	-1.404	-0.535	0.755	Exponential	0.965
Hominini	13	-0.302	-0.104	0.834	-0.395	-0.01	0.638	0.496	-0.06	0.598	0.437	-0.005	0.379	-0.546	-0.438	0.861	Power	0.861
Primates	424	-0.585	-0.332	0.838	-0.785	-0.036	0.463	0.245	-0.065	0.458	0.202	-0.005	0.139	-1.146	-0.771	0.825	Exponential	0.838
Primates other	358	-0.466	-0.491	0.94	-0.714	-0.094	0.609	0.287	-0.112	0.631	0.224	-0.016	0.24	-1.111	-0.698	0.729	Exponential	0.94
Hominini	13	-0.267	-0.096	0.851	-0.323	-0.011	0.77	0.544	-0.06	0.631	0.503	-0.006	0.505	-0.545	-0.34	0.827	Exponential	0.851
Hominidae not Hominini	36	-0.617	-1.034	0.861	-0.722	-0.909	0.683	0.237	-0.263	0.592	0.207	-0.21	0.387	-1.427	-0.592	0.938	Power	0.938
Primates	407	-0.562	-0.313	0.851	-0.752	-0.036	0.515	0.26	-0.065	0.467	0.216	-0.006	0.161	-1.098	-0.674	0.775	Exponential	0.851
Primates other	363	-0.517	-0.466	0.924	-0.746	-0.08	0.546	0.268	-0.102	0.588	0.212	-0.013	0.198	-1.159	-0.713	0.797	Exponential	0.924
Hominidae not Hominini	34	-0.588	-1.023	0.879	-0.698	-0.924	0.721	0.249	-0.275	0.609	0.216	-0.225	0.41	-1.364	-0.571	0.91	Power	0.91
Hominini	13	-0.298	-0.088	0.852	-0.354	-0.01	0.791	0.502	-0.052	0.657	0.465	-0.005	0.547	-0.542	-0.382	0.847	Exponential	0.852
Primates	410	-0.59	-0.304	0.844	-0.765	-0.034	0.501	0.249	-0.062	0.449	0.209	-0.005	0.151	-1.136	-0.695	0.835	Exponential	0.844
Hominini	13	-0.28	-0.089	0.804	-0.326	-0.01	0.757	0.534	-0.056	0.579	0.501	-0.006	0.497	-0.535	-0.388	0.822	Power	0.822
Primates other	370	-0.434	-0.586	0.972	-0.684	-0.149	0.669	0.3	-0.141	0.71	0.232	-0.028	0.298	-1.132	-0.697	0.734	Exponential	0.972
Hominidae not Hominini	36	-0.641	-1.003	0.893	-0.747	-0.879	0.709	0.221	-0.242	0.642	0.192	-0.192	0.417	-1.401	-0.548	0.932	Power	0.932
Primates	419	-0.569	-0.327	0.827	-0.76	-0.034	0.451	0.258	-0.068	0.452	0.214	-0.005	0.134	-1.119	-0.695	0.792	Exponential	0.827
Primates other	353	-0.502	-0.461	0.923	-0.747	-0.077	0.549	0.271	-0.102	0.589	0.211	-0.013	0.197	-1.127	-0.723	0.772	Exponential	0.923
Hominini	12	-0.27	-0.096	0.888	-0.332	-0.011	0.773	0.537	-0.061	0.661	0.493	-0.006	0.498	-0.562	-0.289	0.815	Exponential	0.888
Hominidae not Hominini	34	-0.586	-1	0.97	-0.719	-0.909	0.822	0.235	-0.252	0.788	0.198	-0.208	0.548	-1.32	-0.563	0.876	Exponential	0.97
Primates	399	-0.578	-0.313	0.857	-0.77	-0.036	0.51	0.249	-0.063	0.461	0.206	-0.005	0.154	-1.107	-0.69	0.798	Exponential	0.857
Primates other	370	-0.508	-0.522	0.937	-0.771	-0.098	0.548	0.262	-0.111	0.634	0.2	-0.016	0.212	-1.169	-0.687	0.742	Exponential	0.937
Hominini	13	-0.276	-0.104	0.935	-0.367	-0.011	0.761	0.515	-0.062	0.721	0.454	-0.006	0.487	-0.556	-0.311	0.778	Exponential	0.935
Hominidae not Hominini	41	-0.609	-1.569	0.978	-0.75	-2.366	0.898	0.214	-0.352	0.846	0.178	-0.482	0.638	-1.427	-0.532	0.794	Exponential	0.978
Primates	424	-0.61	-0.328	0.854	-0.814	-0.036	0.474	0.232	-0.062	0.469	0.19	-0.005	0.143	-1.156	-0.691	0.797	Exponential	0.854
Primates other	363	-0.488	-0.471	0.916	-0.718	-0.077	0.522	0.286	-0.109	0.579	0.227	-0.013	0.185	-1.13	-0.718	0.784	Exponential	0.916
Hominini	12	-0.26	-0.096	0.952	-0.351	-0.01	0.839	0.522	-0.058	0.78	0.461	-0.006	0.589	-0.475	-0.465	0.908	Exponential	0.952
Hominidae not Hominini	35	-0.586	-1.478	0.956	-0.688	-2.619	0.966	0.228	-0.368	0.942	0.198	-0.605	0.82	-1.368	-0.502	0.79	Exponential2	0.966
Primates	410	-0.557	-0.321	0.86	-0.74	-0.037	0.506	0.264	-0.068	0.471	0.221	-0.006	0.158	-1.112	-0.697	0.819	Exponential	0.86
Primates other	358	-0.501	-0.482	0.943	-0.73	-0.096	0.621	0.269	-0.104	0.65	0.214	-0.016	0.258	-1.147	-0.697	0.755	Exponential	0.943
Hominidae not Hominini	36	-0.57	-1.05	0.936	-0.687	-0.972	0.772	0.253	-0.285	0.698	0.218	-0.237	0.464	-1.336	-0.55	0.905	Exponential	0.936
Hominini	13	-0.237	-0.107	0.925	-0.325	-0.011	0.772	0.564	-0.068	0.699	0.5	-0.007	0.487	-0.511	-0.376	0.83	Exponential	0.925
Primates	407	-0.575	-0.317	0.876	-0.765	-0.037	0.523	0.249	-0.063	0.504	0.207	-0.006	0.173	-1.124	-0.687	0.804	Exponential	0.876
Primates other	361	-0.471	-0.503	0.949	-0.718	-0.101	0.607	0.283	-0.116	0.645	0.219	-0.018	0.239	-1.114	-0.687	0.745	Exponential	0.949
Hominini	13	-0.294	-0.089	0.865	-0.352	-0.01	0.795	0.505	-0.053	0.673	0.465	-0.005	0.552	-0.543	-0.354	0.819	Exponential	0.865
Hominidae not Hominini	37	-0.678	-1.316	0.932	-0.758	-2.127	0.903	0.197	-0.295	0.821	0.176	-0.446	0.694	-1.45	-0.491	0.885	Exponential	0.932
Primates	411	-0.581	-0.311	0.851	-0.773	-0.034	0.498	0.247	-0.063	0.465	0.204	-0.005	0.15	-1.103	-0.675	0.786	Exponential	0.851
Primates other	367	-0.52	-0.47	0.905	-0.765	-0.075	0.507	0.26	-0.099	0.594	0.203	-0.012	0.185	-1.141	-0.702	0.743	Exponential	0.905
Hominidae not Hominini	38	-0.65	-0.981	0.959	-0.769	-0.887	0.796	0.209	-0.225	0.743	0.178	-0.183	0.499	-1.346	-0.476	0.867	Exponential	0.959
Hominini	12	-0.288	-0.097	0.908	-0.374	-0.01	0.77	0.501	-0.057	0.698	0.446	-0.005	0.508	-0.523	-0.395	0.843	Exponential	0.908
Primates	417	-0.594	-0.321	0.853	-0.788	-0.036	0.494	0.238	-0.062	0.477	0.197	-0.005	0.155	-1.125	-0.692	0.783	Exponential	0.853
Primates other	357	-0.514	-0.463	0.905	-0.756	-0.074	0.515	0.269	-0.101	0.577	0.211	-0.012	0.181	-1.145	-0.69	0.755	Exponential	0.905
Hominidae not Hominini	42	-0.581	-1.184	0.899	-0.718	-1.045	0.694	0.246	-0.298	0.622	0.207	-0.233	0.378	-1.418	-0.628	0.888	Exponential	0.899
Hominini	13	-0.311	-0.088	0.842	-0.355	-0.01	0.782	0.495	-0.052	0.652	0.465	-0.006	0.548	-0.596	-0.285	0.818	Exponential	0.842
