"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominidae not Hominini"	"34"	"-0.368"	"-0.233"	"0.918"	"0.347"	"-0.081"	"0.901"	"-0.729"	"-0.561"	"0.681"	"exponential"	"0.918"
"Hominini"	"13"	"-0.031"	"-0.385"	"0.836"	"0.759"	"-0.304"	"0.97"	"-0.524"	"-0.339"	"0.498"	"linear"	"0.97"
"Primates"	"410"	"-0.387"	"-0.246"	"0.968"	"0.296"	"-0.054"	"0.737"	"-0.807"	"-0.712"	"0.617"	"exponential"	"0.968"
"Hominini"	"13"	"0.33"	"-0.629"	"0.925"	"1.055"	"-0.496"	"0.925"	"-0.346"	"-1.709"	"0.884"	"exponential linear"	"0.844"
"Primates other"	"370"	"-0.377"	"-0.262"	"0.986"	"0.285"	"-0.055"	"0.806"	"-0.785"	"-0.882"	"0.695"	"exponential"	"0.986"
"Hominidae not Hominini"	"36"	"-0.355"	"-0.292"	"0.899"	"0.387"	"-0.126"	"0.792"	"-0.747"	"-0.688"	"0.876"	"exponential"	"0.899"
"Primates"	"419"	"-0.348"	"-0.275"	"0.988"	"0.308"	"-0.063"	"0.788"	"-0.782"	"-0.825"	"0.666"	"exponential"	"0.988"
"Primates other"	"353"	"-0.331"	"-0.277"	"0.982"	"0.31"	"-0.063"	"0.841"	"-0.773"	"-0.815"	"0.646"	"exponential"	"0.982"
"Hominini"	"12"	"0.292"	"-0.612"	"0.943"	"1.023"	"-0.484"	"0.937"	"-0.373"	"-1.611"	"0.898"	"exponential"	"0.943"
"Hominidae not Hominini"	"34"	"-0.323"	"-0.229"	"0.881"	"0.399"	"-0.1"	"0.752"	"-0.617"	"-0.678"	"0.792"	"exponential"	"0.881"
"Primates"	"399"	"-0.298"	"-0.286"	"0.989"	"0.333"	"-0.069"	"0.832"	"-0.74"	"-0.854"	"0.664"	"exponential"	"0.989"
"Primates other"	"370"	"-0.361"	"-0.289"	"0.977"	"0.294"	"-0.064"	"0.89"	"-0.859"	"-0.666"	"0.576"	"exponential"	"0.977"
"Hominini"	"13"	"0.001"	"-0.452"	"0.851"	"0.776"	"-0.347"	"0.938"	"-0.533"	"-0.524"	"0.58"	"linear"	"0.938"
"Hominidae not Hominini"	"41"	"-0.451"	"-0.284"	"0.939"	"0.265"	"-0.071"	"0.95"	"-0.851"	"-0.727"	"0.728"	"linear"	"0.95"
"Primates"	"424"	"-0.347"	"-0.298"	"0.978"	"0.304"	"-0.068"	"0.885"	"-0.851"	"-0.674"	"0.58"	"exponential"	"0.978"
"Primates other"	"363"	"-0.337"	"-0.278"	"0.978"	"0.314"	"-0.065"	"0.778"	"-0.786"	"-0.753"	"0.623"	"exponential"	"0.978"
